MESSAGE_ID,MESSAGE_TYPE,BID0.Price,BID0.Size,BID1.Price,BID1.Size,ASK0.Price,ASK0.Size,ASK1.Price,ASK1.Size,Symbol
31645,BID_UPDATE,32.46,500,NULL,NULL,NULL,NULL,NULL,NULL,AMD
31686,ASK_UPDATE,32.46,500,NULL,NULL,32.64,100,NULL,NULL,AMD
32052,ASK_UPDATE,32.46,500,NULL,NULL,32.64,100,NULL,NULL,AMD
32120,BID_UPDATE,32.46,500,NULL,NULL,32.64,100,NULL,NULL,AMD
33363,BID_UPDATE,32.46,700,NULL,NULL,32.64,100,NULL,NULL,AMD
33371,BID_UPDATE,32.46,700,NULL,NULL,32.64,100,NULL,NULL,AMD
33484,BID_UPDATE,32.46,800,NULL,NULL,32.64,100,NULL,NULL,AMD
33485,BID_UPDATE,32.46,1000,NULL,NULL,32.64,100,NULL,NULL,AMD
33486,BID_UPDATE,32.46,1100,NULL,NULL,32.64,100,NULL,NULL,AMD
33487,BID_UPDATE,32.46,1100,NULL,NULL,32.64,100,NULL,NULL,AMD
33958,ASK_UPDATE,32.46,1100,NULL,NULL,32.61,100,32.64,100,AMD
33961,ASK_UPDATE,32.46,1100,NULL,NULL,32.61,100,32.64,100,AMD
34073,BID_UPDATE,32.46,1200,NULL,NULL,32.61,100,32.64,100,AMD
34074,BID_UPDATE,32.46,1200,NULL,NULL,32.61,100,32.64,100,AMD
35869,BID_UPDATE,32.46,1300,NULL,NULL,32.61,100,32.64,100,AMD
35873,BID_UPDATE,32.46,1300,NULL,NULL,32.61,100,32.64,100,AMD
35937,ASK_UPDATE,32.46,1300,NULL,NULL,32.58,100,32.61,100,AMD
35938,ASK_UPDATE,32.46,1300,NULL,NULL,32.58,100,32.61,100,AMD
36118,BID_UPDATE,32.46,1600,NULL,NULL,32.58,100,32.61,100,AMD
36126,BID_UPDATE,32.46,1600,NULL,NULL,32.58,100,32.61,100,AMD
37159,ASK_UPDATE,32.46,1600,NULL,NULL,32.58,200,32.61,100,AMD
37162,ASK_UPDATE,32.46,1600,NULL,NULL,32.58,200,32.61,100,AMD
37165,BID_UPDATE,32.46,1700,NULL,NULL,32.58,200,32.61,100,AMD
37166,BID_UPDATE,32.46,1700,NULL,NULL,32.58,200,32.61,100,AMD
37167,ASK_UPDATE,32.46,1700,NULL,NULL,32.57,100,32.58,200,AMD
37171,ASK_UPDATE,32.46,1700,NULL,NULL,32.57,100,32.58,200,AMD
37188,ASK_UPDATE,32.46,1700,NULL,NULL,32.57,200,32.58,200,AMD
